Title_id,duration,gross,movie_title,num_voted_users,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,imdb_score
tt0499549,178,760505847,Avatar ,886204,avatar|future|marine|native|paraplegic,3054,English,USA,PG-13,237000000,7.9
tt0449088,169,309404152,Pirates of the Caribbean: At World's End ,471220,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238,English,USA,PG-13,300000000,7.1
tt2379713,148,200074175,Spectre ,275868,bomb|espionage|sequel|spy|terrorist,994,English,UK,PG-13,245000000,6.8
tt1345836,164,448130642,The Dark Knight Rises ,1144337,deception|imprisonment|lawlessness|police officer|terrorist plot,2701,English,USA,PG-13,250000000,8.5
tt5289954,,,Star Wars: Episode VII - The Force Awakens ,8,,,,,,,7.1
tt0401729,132,73058679,John Carter ,212204,alien|american civil war|male nipple|mars|princess,738,English,USA,PG-13,263700000,6.6
tt0413300,156,336530303,Spider-Man 3 ,383056,sandman|spider man|symbiote|venom|villain,1902,English,USA,PG-13,258000000,6.2
tt0398286,100,200807262,Tangled ,294810,17th century|based on fairy tale|disney|flower|tower,387,English,USA,PG,260000000,7.8
tt2395427,141,458991599,Avengers: Age of Ultron ,462669,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117,English,USA,PG-13,250000000,7.5
tt0417741,153,301956980,Harry Potter and the Half-Blood Prince ,321795,blood|book|love|potion|professor,973,English,UK,PG,250000000,7.5
tt2975590,183,330249062,Batman v Superman: Dawn of Justice ,371639,based on comic book|batman|sequel to a reboot|superhero|superman,3018,English,USA,PG-13,250000000,6.9
tt0348150,169,200069408,Superman Returns ,240396,crystal|epic|lex luthor|lois lane|return to earth,2367,English,USA,PG-13,209000000,6.1
tt0830515,106,168368427,Quantum of Solace ,330784,action hero|attempted rape|bond girl|official james bond series|revenge,1243,English,UK,PG-13,200000000,6.7
tt0383574,151,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,box office hit|giant squid|heart|liar's dice|monster,1832,English,USA,PG-13,225000000,7.3
tt1210819,150,89289910,The Lone Ranger ,181792,horse|outlaw|texas|texas ranger|train,711,English,USA,PG-13,215000000,6.5
tt0770828,143,291021565,Man of Steel ,548573,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536,English,USA,PG-13,225000000,7.2
tt0499448,150,141614023,The Chronicles of Narnia: Prince Caspian ,149922,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,English,USA,PG,225000000,6.6
tt0848228,173,623279547,The Avengers ,995415,alien invasion|assassin|battle|iron man|soldier,1722,English,USA,PG-13,220000000,8.1
tt1298650,136,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,blackbeard|captain|pirate|revenge|soldier,484,English,USA,PG-13,250000000,6.7
tt1409024,106,179020854,Men in Black 3 ,268154,alien|criminal|m.i.b.|maximum security prison|prison,341,English,USA,PG-13,225000000,6.8
tt2310332,164,255108370,The Hobbit: The Battle of the Five Armies ,354228,army|elf|hobbit|middle earth|orc,802,English,New Zealand,PG-13,250000000,7.5
tt0948470,153,262030663,The Amazing Spider-Man ,451803,lizard|outcast|spider|spider man|teenager,1225,English,USA,PG-13,230000000,7
